Index,DIA,IJH,IJR,IVV,QQQ,SPY,VEA,VTI,VWO,VXUS
DIA,0.0019294231059872621,0.0019661796271558877,0.002010633674119817,0.0017995153248348188,0.002147869574999638,0.001866189935257589,0.002025966475293253,0.0018274406847881813,0.0017467682937775258,0.0015154459141302867
IJH,0.0019661796271558877,0.002698995297213706,0.002812715805555419,0.0021092998059000197,0.002659832884503587,0.002114965098842933,0.0024965046999946973,0.002204862152475924,0.002337864439736391,0.0018938020494855246
IJR,0.002010633674119817,0.002812715805555419,0.0031860118128020525,0.002153078808603071,0.0026924360431465214,0.0021542882698445992,0.0025285975790313234,0.0022792070475193596,0.0023483837322049567,0.001924769808166963
IVV,0.0017995153248348188,0.0021092998059000197,0.002153078808603071,0.0019448087723897987,0.0025366001709469475,0.001949602453456505,0.002177835800307802,0.0019539911143415887,0.0019455622632356076,0.0015889886309929254
QQQ,0.002147869574999638,0.002659832884503587,0.0026924360431465214,0.0025366001709469475,0.004682672096893,0.0025345655106056328,0.002338233147763449,0.002376057820145078,0.0022275046448837605,0.0016985878873761182
SPY,0.001866189935257589,0.002114965098842933,0.0021542882698445992,0.001949602453456505,0.0025345655106056328,0.0018520975498501934,0.0021785836253108183,0.001955877132395317,0.0019508799758320861,0.0015920844514408577
VEA,0.002025966475293253,0.0024965046999946973,0.0025285975790313234,0.002177835800307802,0.002338233147763449,0.0021785836253108183,0.002794472179110033,0.0022520192198378043,0.0028256879996852685,0.0019846457157317856
VTI,0.0018274406847881813,0.002204862152475924,0.0022792070475193596,0.0019539911143415887,0.002376057820145078,0.001955877132395317,0.0022520192198378043,0.0020194465449878776,0.002044511555749195,0.0016578217624537413
VWO,0.0017467682937775258,0.002337864439736391,0.0023483837322049567,0.0019455622632356076,0.0022275046448837605,0.0019508799758320861,0.0028256879996852685,0.002044511555749195,0.003651509690615361,0.0020498937028239927
VXUS,0.0015154459141302867,0.0018938020494855246,0.001924769808166963,0.0015889886309929254,0.0016985878873761182,0.0015920844514408577,0.0019846457157317856,0.0016578217624537413,0.0020498937028239927,0.001983944119184976
